level_0,Brands,Months,ARP,vs. Prior Period,Total Units,vs Prior Period unit,Total Sales ($),index
101,22 Red,08/2019,18.1440708347208,0.0904554613348034,1247.271041,-0.47281591818189,22630.574118,109.0
102,22 Red,09/2019,20.6951291351059,0.14060010697838,1079.652036,-0.134388596776537,22343.538306,110.0
103,22 Red,10/2019,14.2058557495094,-0.313565252153393,3673.349614,2.4023458406186,52183.074734,111.0
104,22 Red,11/2019,14.530439174061,0.0228485654278736,1834.94808,-0.500470068787741,26662.601464,112.0
105,22 Red,12/2019,15.5586297618747,0.0707611501274622,6489.45102,2.53658563461915,100966.965778,113.0
106,22 Red,01/2020,14.8109854428706,-0.0480533524125701,1045.835178,-0.838840731707996,15489.849597,114.0
107,22 Red,02/2020,13.9428001694179,-0.0586176576029644,3682.337445,2.52095389642745,51342.095152,115.0
108,22 Red,03/2020,13.9464610106614,0.000262561407967,2742.846042,-0.255134521762983,38252.995383,116.0
109,22 Red,04/2020,13.9874277046117,0.0029374257683669,3065.927407,0.117790557710056,42884.437953,117.0
110,22 Red,05/2020,12.9186746240317,-0.0764081218612906,6012.012071,0.960911421866553,77667.227781,118.0
111,22 Red,06/2020,12.6738181076725,-0.0189536870836334,7508.85702,0.248975705857327,95165.888068,119.0
112,22 Red,07/2020,13.5147027724813,0.0663481720871277,4472.295486,-0.404397303865562,60441.744204,120.0
113,22 Red,08/2020,15.002130081346,0.110059935013398,5331.760696,0.192175408062918,79987.767524,121.0
114,22 Red,09/2020,15.0300047220663,0.0018580455288094,8429.832959,0.5810598861506,126700.42918,122.0
115,22 Red,10/2020,15.4346187111863,0.0269204166334038,7526.312213,-0.107181334481293,116165.759309,123.0
116,22 Red,11/2020,15.671508444543,0.0153479485168578,6275.591207,-0.166179793051856,98347.980595,124.0
117,22 Red,12/2020,15.583083920951,-0.0056423747531943,4330.168935,-0.309998246831312,67477.385906,125.0
118,22 Red,01/2021,14.6621930910353,-0.0590955445396531,3521.852607,-0.186670852831288,51638.082962,126.0
119,22 Red,02/2021,14.2661380424605,-0.0270119924158477,8719.852553,1.47592773634777,124398.620231,127.0
120,22 Red,03/2021,14.4335872162232,0.0117375265306057,3658.017812,-0.580495451067979,52798.319128,128.0
121,22 Red,04/2021,11.008282336152,-0.237314870430908,4598.236814,0.257029640182627,50618.689097,129.0
