Brands,Months,ARP,vs. Prior Period,Total Units,vs Prior Period unit,Total Sales ($),month,year,annual_avg
HerbaBuena,05/2021,54.439999961800304,0.101444582607662,16.754056,-0.594979346529862,912.090808,5,2021,50.753846417828186
HerbaBuena,06/2021,54.5063246153765,0.0012183073773468,33.490416,0.998943778151393,1825.439486,6,2021,50.753846417828186
HerbaBuena,07/2021,43.92999965621,-0.194038490648531,25.538846,-0.237428224241825,1121.921496,7,2021,50.753846417828186
HerbaBuena,08/2021,47.3466672363901,0.0777752699048143,12.63771,-0.505157359106985,598.35345,8,2021,50.753846417828186
Herbanology,11/2020,3.8366510543129353,-0.06502848986459497,113.19202877953214,0.26744068756635836,434.2783165568121,11,2020,5.962508845564038
Herbanology,12/2020,8.08836663681514,-0.5256581178145446,195.745449,-0.42173864394910077,1583.260959,12,2020,5.962508845564038
Herbanology,6/2021,3.9554624907601292,-0.06502848986459497,361.8191250905801,0.26744068756635836,1431.1619777354367,6,2021,6.14715275264394
Herbanology,07/2021,8.33884301452775,-0.5256581178145446,625.70172,-0.42173864394910077,5217.628417,7,2021,6.14715275264394
Herbarium,5/2021,5.239146920742591,-0.06502848986459497,1018.420747144039,0.26744068756635836,5335.655921420061,5,2021,10.486477997538497
Herbarium,06/2021,11.0450860813809,-0.5256581178145446,1761.177254,-0.42173864394910077,19452.354375,6,2021,10.486477997538497
Herbarium,07/2021,12.5177397225714,0.133331114881306,4585.81901,1.60383729098514,57404.088782,7,2021,10.486477997538497
Herbarium,08/2021,13.1439392654591,0.0500249691051294,1739.212224,-0.620741197982866,22860.099842,8,2021,10.486477997538497
Herbes,11/2019,13.357750676364818,-0.06502848986459497,567.8089489617382,0.26744068756635836,7584.650372039655,11,2019,20.75917393507321
Herbes,12/2019,28.1605971937816,-0.5256581178145446,981.924424,-0.42173864394910077,27651.578179,12,2019,20.75917393507321
Herbology,9/2018,21.880537207343707,-0.06502848986459497,167.88291862957885,0.26744068756635836,3673.3684475519563,9,2018,36.49914278093401
Herbology,10/2018,46.1281999947645,-0.5256581178145446,290.3236,-0.42173864394910077,13392.105084,10,2018,36.49914278093401
Herbology,11/2018,38.9067499707646,-0.156551741121905,598.59,1.06180276078142,23289.191465,11,2018,36.49914278093401
Herbology,12/2018,39.0810839508632,0.0044808158026457,952.355937,0.590998742043803,37219.102325,12,2018,36.49914278093401
Herbology,1/2019,34.72166404116256,-0.06502848986459497,2209.777913145241,0.26744068756635836,76727.16630581037,1,2019,38.737271131849106
Herbology,02/2019,36.3017465950939,-0.0435263507168244,2192.380142,0.0079355631863049,79587.228355,2,2019,38.737271131849106
Herbology,03/2019,35.0985734273886,-0.0331436716014064,2690.847118,0.227363387603607,94444.895153,3,2019,38.737271131849106
Herbology,04/2019,37.9616131922023,0.081571399781723,1191.015576,-0.557382666583736,45212.872602,4,2019,38.737271131849106
Herbology,05/2019,40.9223657063592,0.0779933270792898,981.769775000001,-0.175686871957415,40176.341772,5,2019,38.737271131849106
Herbology,06/2019,43.3430175446644,0.0591522947542834,626.318736,-0.36205131595134,27146.543963,6,2019,38.737271131849106
Herbology,07/2019,43.5775747317317,0.0054116487580876,726.652471,0.16019596609992,31665.752359,7,2019,38.737271131849106
Herbology,08/2019,42.2474096157019,-0.0305240740040819,463.192373,-0.362566850749758,19568.677913,8,2019,38.737271131849106
Herbology,09/2019,42.92,0.0159202751225747,279.7026,-0.396141611338665,12004.835592,9,2019,38.737271131849106
Herbology,10/2019,40.5102564231853,-0.0561450041196343,208.834743,-0.253368602937549,8459.948989,10,2019,38.737271131849106
Herbology,11/2019,44.2303740768513,0.0918315010106138,131.06772,-0.372385465573609,5797.174285,11,2019,38.737271131849106
Herbology,12/2019,23.0126582278481,-0.479709165745171,384.019948,1.9299353647107,8837.319816,12,2019,38.737271131849106
Herbology,1/2020,0.0,-0.06502848986459497,0.0,0.26744068756635836,0.0,1,2020,21.142105309609644
Herbology,02/2020,19.621934015334475,-1.0,28690.23860679048,-1.0,378071.18583555694,2,2020,21.142105309609644
Herbology,6/2020,14.099913680058751,-0.06502848986459497,119.0996919365485,0.26744068756635836,1679.295375626923,6,2020,21.142105309609644
Herbology,07/2020,29.7252134158924,-0.5256581178145446,205.9617,-0.42173864394910077,6122.255488,7,2020,21.142105309609644
Herbology,08/2020,36.084006387176096,0.213919169639471,766.951766,2.72375915522158,27674.692423,8,2020,21.142105309609644
Herbology,09/2020,33.5558821248027,-0.0700621830970486,937.137299,0.221898612852272,31446.46874,9,2020,21.142105309609644
Herbology,10/2020,33.7475117336024,0.0057107605780397,1375.732017,0.468015432176284,46427.532386,10,2020,21.142105309609644
Herbology,11/2020,13.4622784084872,-0.601088266454834,6565.1296,3.77209915802955,88381.602463,11,2020,21.142105309609644
Herbology,12/2020,9.98220802113276,-0.258505305102027,12391.186087,0.887424444294291,123691.397149,12,2020,21.142105309609644
Herbology,1/2021,10.667719784719417,-0.06502848986459497,3953.9436575444765,0.26744068756635836,42179.56298325307,1,2021,13.859095903225738
Herbology,02/2021,9.61372703940634,0.109634145112795,6799.528947,-0.41849741528213,65368.815293,2,2021,13.859095903225738
Herbology,03/2021,20.0093639335128,1.08133264565294,909.282727,-0.866272688286564,18194.169003,3,2021,13.859095903225738
Herbology,04/2021,10.8775687983489,-0.456376082993298,386.771455,-0.574641150089723,4207.133111,4,2021,13.859095903225738
Herbology,05/2021,8.43069975367206,-0.224946317512443,322.515578,-0.166133969219626,2719.032004,5,2021,13.859095903225738
Herbology,06/2021,7.487346871695711,-0.111894968334682,307.693197,-0.0459586513368354,2303.805696,6,2021,13.859095903225738
Herbology,07/2021,19.621934015334475,-1.0,28690.23860679048,-1.0,378071.18583555694,7,2021,13.859095903225738
Herbology,08/2021,24.1644070291162,-0.5256581178145446,248.54163,-0.42173864394910077,6005.861111,8,2021,13.859095903225738
Heshies,2/2019,17.292507794919306,-0.06502848986459497,375.26014531142374,0.26744068756635836,6489.188987920346,2,2019,27.310523931661123
Heshies,03/2019,36.4557894724514,-0.5256581178145446,648.94557,-0.42173864394910077,23657.823079,3,2019,27.310523931661123
Heshies,04/2019,31.9344295295562,-0.124023097793887,837.081702,0.289910495883345,26731.726623,4,2019,27.310523931661123
Heshies,05/2019,32.5870588283526,0.0204365416389339,476.859605,-0.430330869901156,15539.452001,5,2019,27.310523931661123
Heshies,06/2019,31.4151786436951,-0.0359615205173986,939.478104,0.970135641914982,29513.872469,6,2019,27.310523931661123
Heshies,07/2019,32.5110854269374,0.0348846268127851,500.646392,-0.46710158558416,16276.557619,7,2019,27.310523931661123
Heshies,08/2019,8.11995223545626,-0.750240506312706,2349.44566,3.69282451155665,19077.386539,8,2019,27.310523931661123
Heshies,09/2019,29.1850495087027,2.59423906230192,282.499626,-0.879759029625737,8244.765571,9,2019,27.310523931661123
Heshies,10/2019,19.621934015334475,-1.0,28690.23860679048,-1.0,378071.18583555694,10,2019,27.310523931661123
Heshies,11/2019,35.5016666689556,-0.5256581178145446,87.37848,-0.42173864394910077,3102.081671,11,2019,27.310523931661123
Heshies,12/2019,25.7911111239114,-0.273523934399834,43.749108,-0.499314842739311,1128.338106,12,2019,27.310523931661123
Heshies,1/2020,0.0,-0.06502848986459497,0.0,0.26744068756635836,0.0,1,2020,27.56316646655793
Heshies,02/2020,19.621934015334475,-1.0,28690.23860679048,-1.0,378071.18583555694,2,2020,27.56316646655793
Heshies,03/2020,32.8643823460811,-0.5256581178145446,1116.193096,-0.42173864394910077,36682.996679,3,2020,27.56316646655793
Heshies,04/2020,32.4863479036342,-0.0115028616228354,1062.190422,-0.0483811216836265,34506.687589,4,2020,27.56316646655793
Heshies,05/2020,33.2120121954342,0.0223375152526408,1533.995072,0.444180855172501,50947.063039,5,2020,27.56316646655793
Heshies,06/2020,31.4652452427476,-0.0525944330746312,1691.68815,0.102798946931689,53229.382514,6,2020,27.56316646655793
Heshies,07/2020,31.1394468165876,-0.0103542312683896,1777.959964,0.0509974690075119,55364.689741,7,2020,27.56316646655793
Heshies,08/2020,31.8605725804568,0.0231579503681179,2084.624136,0.172480920948341,66417.318588,8,2020,27.56316646655793
Heshies,09/2020,33.1905334300711,0.0417431559415879,2626.919527,0.260140608388313,87188.860379,9,2020,27.56316646655793
Heshies,10/2020,37.1959827680891,0.120680474944973,3543.643662,0.348973055922622,131809.308588,10,2020,27.56316646655793
Heshies,11/2020,26.5846878238972,-0.285280671580894,5210.894798,0.470490629144979,138530.011488,11,2020,27.56316646655793
Heshies,12/2020,21.1368524763618,-0.204923803643026,6064.912971,0.163890887478247,128193.17075,12,2020,27.56316646655793
Heshies,1/2021,23.192611444301228,-0.06502848986459497,7538.958711421905,0.26744068756635836,174848.14008863812,1,2021,21.4630445755731
Heshies,02/2021,23.1640947585951,0.0012310727444053,6365.851621,0.184281249432833,147459.190168,2,2021,21.4630445755731
Heshies,03/2021,17.588603797623,-0.240695396003042,6095.558266,-0.0424598892799107,107212.359266,3,2021,21.4630445755731
Heshies,04/2021,21.3248397616825,0.212423681097668,7909.165829,0.297529362177701,168661.693952,4,2021,21.4630445755731
Heshies,05/2021,19.7045435124822,-0.0759816377195822,8167.6023,0.0326755661200593,160938.874913,5,2021,21.4630445755731
Heshies,06/2021,17.2450213820746,-0.12482005121558,10433.20652,0.277389145159529,179920.869521,6,2021,21.4630445755731
Heshies,07/2021,27.2582035849129,0.580641912873853,3194.909607,-0.693774909863473,87087.496503,7,2021,21.4630445755731
Heshies,08/2021,22.2264383629133,-0.184596362204317,4863.517413,0.522270740412845,108098.670007,8,2021,21.4630445755731
HGH Extractions,8/2018,22.540833914296957,-0.06502848986459497,44.44235996265248,0.26744068756635836,1001.7678546775503,8,2018,35.03053045423588
HGH Extractions,09/2018,47.5202269941748,-0.5256581178145446,104.153686,-0.573300171415417,4949.406801,9,2018,35.03053045423588
Hi,9/2019,11.481157088317541,-0.06502848986459497,247.71499831327392,0.26744068756635836,2844.0548087670127,9,2019,20.550628777859387
Hi,10/2019,24.2043924846356,-0.5256581178145446,428.37896,-0.42173864394910077,10368.65248,10,2019,20.550628777859387
Hi,11/2019,23.5262958520885,-0.0280154369905174,820.38684,0.915096016853862,19300.663511,11,2019,20.550628777859387
Hi,12/2019,22.9906696863959,-0.0227671270080152,1186.086928,0.445765424516073,27268.932781,12,2019,20.550628777859387
Hi,1/2020,22.134936092288417,-0.06502848986459497,5765.733262443134,0.26744068756635836,127624.13728936037,1,2020,27.727635620035276
Hi,02/2020,24.6440661659622,-0.101814775888702,3246.333505,0.77607545668452,80002.857694,2,2020,27.727635620035276
Hi,03/2020,26.5155401909369,0.0759401477163519,2451.8886,-0.244720668340575,65013.150717,3,2020,27.727635620035276
Hi,04/2020,30.7217826411205,0.15863310420586,1385.655818,-0.43486183752394,42569.816856,4,2020,27.727635620035276
Hi,05/2020,26.5901617659772,-0.134485063038406,2474.90484,0.78608916287176,65808.120051,5,2020,27.727635620035276
Hi,06/2020,25.2300382167453,-0.0511513830266422,2922.78945,0.180970436826976,73742.089523,6,2020,27.727635620035276
Hi,07/2020,27.5266609346707,0.0910273182385067,6519.48000499998,1.23056779030045,179459.515568,7,2020,27.727635620035276
Hi,08/2020,30.5382118147689,0.109404874323316,6969.032225,0.0689552264375757,212821.782231,8,2020,27.727635620035276
Hi,09/2020,30.9578098094709,0.0137400970707479,7886.628807,0.131667719760041,244152.754645,9,2020,27.727635620035276
Hi,10/2020,31.0531424427865,0.0030794372697022,4973.80034,-0.369337588757143,154452.13044,10,2020,27.727635620035276
