Products,Months,Total Sales ($)
Pacific Stone - Wedding Cake - Flower (Gram),Dec-20,"1,221,771.30"
Pacific Stone - 805 Glue - Flower (Gram),Aug-20,"1,220,702.28"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Jan-20,"1,219,948.14"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Jan-21,"1,218,580.73"
Pacific Stone - Wedding Cake - Flower (Gram),Jun-21,"1,208,537.95"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Feb-20,"1,202,904.99"
Pacific Stone - Wedding Cake - Flower (Gram),May-21,"1,191,075.55"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Mar-21,"1,185,376.75"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Aug-20,"1,178,981.67"
Connected Cannabis Co. - Biscotti - Flower (Gram),Aug-20,"1,172,280.71"
Pacific Stone - Wedding Cake - Flower (Gram),Jan-21,"1,169,166.48"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Oct-20,"1,149,126.37"
Pacific Stone - Wedding Cake - Flower (Gram),Feb-21,"1,144,895.56"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Apr-20,"1,139,010.23"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Jul-20,"1,134,987.54"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Mar-21,"1,130,977.20"
Pacific Stone - 805 Glue - Flower (Gram),Jan-21,"1,125,581.96"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Aug-21,"1,120,243.38"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Dec-20,"1,111,723.24"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC",Feb-21,"1,107,850.18"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Apr-21,"1,106,948.95"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Jul-20,"1,106,878.64"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Sep-20,"1,100,876.24"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Nov-20,"1,100,362.69"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Aug-19,"1,096,425.40"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Nov-20,"1,092,976.41"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC",Jun-20,"1,089,097.19"
Pacific Stone - 805 Glue - Flower (Gram),Nov-20,"1,083,924.59"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Nov-20,"1,083,175.59"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Apr-21,"1,073,664.30"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC",Dec-19,"1,070,895.79"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Dec-20,"1,069,507.01"
Stiiizy - Vape Pen,Jul-21,"1,067,117.95"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Aug-20,"1,064,415.67"
Concentrate - Strain Blends - Distillate Cartridge,Jun-21,"1,058,887.78"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Oct-20,"1,052,239.86"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Aug-20,"1,049,602.20"
Pacific Stone - 805 Glue - Flower (Gram),Apr-21,"1,047,065.94"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC",Dec-19,"1,042,388.97"
Pacific Stone - 805 Glue - Flower (Gram),Oct-20,"1,041,686.01"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",May-21,"1,039,536.82"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Sep-20,"1,038,367.12"
Stiiizy - Vape Pen,Mar-21,"1,037,982.17"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Jul-21,"1,027,201.45"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Oct-20,"1,022,358.21"
Concentrate - Strain Blends - Distillate Cartridge,Nov-20,"1,019,237.49"
Pacific Stone - Wedding Cake - Flower (Gram),Oct-20,"1,018,567.12"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",May-21,"1,017,876.01"
Stiiizy - Vape Pen,Aug-21,"1,009,825.94"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Jun-21,"1,008,921.49"
Pacific Stone - 805 Glue - Flower (Gram),Dec-20,"1,008,544.33"
Pacific Stone - 805 Glue - Flower (Gram),Mar-21,"1,007,497.68"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Feb-21,"1,007,090.67"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Jul-20,"1,003,593.21"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC",Apr-21,"1,001,549.67"
Stiiizy - Vape Pen,Jun-21,"1,000,445.96"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",May-20,"994,781.45"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Jul-21,"987,564.27"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC",Jan-21,"986,759.88"
Stiiizy - Vape Pen,Sep-21,"986,505.77"
Stiiizy - Vape Pen,May-21,"985,228.29"
Pacific Stone - Wedding Cake - Flower (Gram),Aug-20,"981,654.24"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Jan-21,"979,509.62"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Aug-21,"968,367.11"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Jun-21,"967,470.58"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Jan-19,"965,758.13"
Stiiizy - Vape Pen,Apr-21,"964,467.28"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Feb-21,"960,570.22"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC",Apr-21,"959,142.97"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Mar-20,"956,005.35"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Sep-19,"948,193.89"
Pacific Stone - 805 Glue - Flower (Gram),Sep-20,"942,937.14"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Apr-19,"941,975.69"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC",Dec-20,"939,716.43"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Aug-21,"935,975.74"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC",Mar-19,"934,681.02"
Pacific Stone - 805 Glue - Flower (Gram),Jul-20,"929,933.97"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD",Aug-19,"921,765.71"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Jan-21,"921,476.00"
Pacific Stone - 805 Glue - Flower (Gram),May-21,"912,579.78"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Jun-20,"912,025.12"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Feb-20,"910,430.94"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD",Mar-20,"904,168.14"
Concentrate - Strain Blends - Distillate Cartridge,Apr-21,"901,570.81"
Connected Cannabis Co. - Biscotti - Flower (Gram),Sep-20,"899,428.24"
Connected Cannabis Co. - Gelonade - Flower (Gram),Jul-20,"890,985.13"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",Jun-20,"888,132.12"
Pacific Stone - 805 Glue - Flower (Gram),Jun-21,"888,039.78"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack",Jul-21,"886,263.58"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC",May-20,"884,201.58"
